Address	Status-Code	Status-Text	Type	Size	Title	Date	Level	Links Out	Links In	Server	Error	Duration	Charset	Description
https://download.gimp.org/gegl-qt/?C=M&O=D	200	ok	text/html	1439	Index of /gegl-qt/		2	9	9	nginx/1.20.1		00:00.099	utf-8	
https://download.gimp.org/gegl/?C=M&O=D	200	ok	text/html	2002	Index of /gegl/		2	13	13	nginx/1.20.1		00:00.099	utf-8	
https://download.gimp.org/beast/?C=M&O=D	200	ok	text/html	2183	Index of /beast/		2	14	15	nginx/1.20.1		00:00.108	utf-8	
https://download.gimp.org/babl/?C=M&O=D	200	ok	text/html	1576	Index of /babl/		2	10	10	nginx/1.20.1		00:00.099	utf-8	
https://download.gimp.org/babl/?C=N&O=A	200	ok	text/html	1540	Index of /babl/		2	10	7	nginx/1.20.1		00:00.098	utf-8	
https://download.gimp.org/babl/0.0/	200	ok	text/html	2797	Index of /babl/0.0/		2	16	2	nginx/1.20.1		00:00.111	utf-8	
https://download.gimp.org/babl/0.1/	200	ok	text/html	11599	Index of /babl/0.1/		2	65	6	nginx/1.20.1		00:00.156	utf-8	
https://download.gimp.org/babl/README	200	ok	text/html		README		2	1	7	nginx/1.20.1		00:00.103	utf-8	
https://download.gimp.org/beast/?C=N&O=A	200	ok	text/html	2087	Index of /beast/		2	14	7	nginx/1.20.1		00:00.112	utf-8	
https://download.gimp.org/beast/bse-files/	200	ok	text/html	5204	Index of /beast/bse-files/		2	31	14	nginx/1.20.1		00:00.103	utf-8	
https://download.gimp.org/beast/v0.1/	200	ok	text/html	1332	Index of /beast/v0.1/		2	8	2	nginx/1.20.1		00:00.097	utf-8	
https://download.gimp.org/beast/v0.3/	200	ok	text/html	2423	Index of /beast/v0.3/		2	14	2	nginx/1.20.1		00:00.113	utf-8	
https://download.gimp.org/beast/v0.4/	200	ok	text/html	1472	Index of /beast/v0.4/		2	9	4	nginx/1.20.1		00:00.099	utf-8	
https://download.gimp.org/beast/v0.5/	200	ok	text/html	4267	Index of /beast/v0.5/		2	23	4	nginx/1.20.1		00:00.112	utf-8	
https://download.gimp.org/beast/v0.6/	200	ok	text/html	5185	Index of /beast/v0.6/		2	28	4	nginx/1.20.1		00:00.177	utf-8	
https://download.gimp.org/beast/v0.7/	200	ok	text/html	3103	Index of /beast/v0.7/		2	17	2	nginx/1.20.1		00:00.101	utf-8	
https://download.gimp.org/csl/?C=N&O=A	200	ok	text/html	1662	Index of /csl/		2	10	7	nginx/1.20.1		00:00.099	utf-8	
https://download.gimp.org/csl/csl-0.1.1.tar.gz	200	ok	text/html		csl-0.1.1.tar.gz		2	1	7	nginx/1.20.1		00:00.103	utf-8	
https://download.gimp.org/csl/csl-0.1.2.tar.gz	200	ok	text/html		csl-0.1.2.tar.gz		2	1	7	nginx/1.20.1		00:00.101	utf-8	
https://download.gimp.org/csl/csl-0.2.0.tar.gz	200	ok	text/html		csl-0.2.0.tar.gz		2	1	7	nginx/1.20.1		00:00.097	utf-8	
https://download.gimp.org/gegl/?C=N&O=A	200	ok	text/html	1930	Index of /gegl/		2	13	7	nginx/1.20.1		00:00.101	utf-8	
https://download.gimp.org/gegl/0.0/	200	ok	text/html	2791	Index of /gegl/0.0/		2	16	2	nginx/1.20.1		00:00.099	utf-8	
https://download.gimp.org/gegl/0.1/	200	ok	text/html	2042	Index of /gegl/0.1/		2	12	2	nginx/1.20.1		00:00.110	utf-8	
